GENOTYPE,PLOT,Index
CT27047-55-R-R-R-MPL,645,6
CT27050-39-R-R-R-MPL,646,4
CT26995-64-R-R-R-MPL,647,6
CT27050-90-R-R-R-MPL,648,6
CT27057-59-R-R-R-MPL,649,7
ORYZICA 1,650,7
CT27035-81-R-R-R-MPL,651,7
CT27054-46-R-R-R-MPL,652,6
CT27009-41-R-R-R-MPL,653,7
CT27050-55-R-R-R-MPL,654,4
CT27035-162-R-R-R-MPL,655,6
CT27050-104-R-R-R-MPL,656,3
CT27057-43-R-R-R-MPL,657,6
CT27016-95-R-R-R-MPL,658,6
CT26989-118-R-R-R-MPL,659,7
CT27038-93-R-R-R-MPL,660,6
CT26997-80-R-R-R-MPL,661,6
CT27047-44-R-R-R-MPL,662,6
CT26995-80-R-R-R-MPL,663,6
CT27031-69-R-R-R-MPL,664,7
CT27048-34-R-R-R-MPL,665,7
CT26991-47-R-R-R-MPL,666,7
FEDEARROZ 2000,667,6
CT26987-100-R-R-R-MPL,668,7
CT27050-98-R-R-R-MPL,669,5
CT27009-44-R-R-R-MPL,670,6
CT26997-119-R-R-R-MPL,671,7
CT27016-46-R-R-R-MPL,672,7
CT27035-69-R-R-R-MPL,673,7
CT26998-68-R-R-R-MPL,674,6
CT27016-52-R-R-R-MPL,675,7
CT27048-56-R-R-R-MPL,676,7
